card_name,product,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
Angelic Angel,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！,,,,all,,L,PL!-bp4-019-L,"pink:2,yellow:2,purple:2,grey:4",,4,<常時> このカードが自分の成功ライブカード置き場にあり、かつ自分のステージに『μ's』のメンバーがいるかぎり、自分の成功ライブカード置き場にあるこのカードのスコアを＋５する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!-bp4-019-L.png
Love wing bell,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！,,,,all,,L,PL!-bp4-020-L,"pink:3,yellow:3,grey:2",,3,<ライブ開始時> 自分のステージにいるメンバーが『μ's』のみの場合、自分のステージにいるメンバー1人をポジションチェンジさせてもよい。 <常時> このカードが自分の成功ライブカード置き場にあるかぎり、自分のセンターエリアにいる『μ's』のメンバーは <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!-bp4-020-L.png
?←HEARTBEAT,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！,,,,yellow,,L,PL!-bp4-021-L,"pink:2,yellow:2,purple:2,grey:8",ドロー,6,<ライブ開始時> 自分の成功ライブカード置き場にあるカードのスコアの合計が６以上の場合、このカードを成功させるための必要ハートを grey 減らす。スコアの合計が９以上の場合、さらにこのカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!-bp4-021-L.png
No brand girls,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！,,,,,,L,PL!-bp4-022-L,"pink:3,yellow:3,purple:3,grey:9",スコア,7,<ライブ開始時> 自分のセンターエリアに <ブレード> を9つ以上持つ『μ's』のメンバーがいる場合、このカードのスコアを＋２する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!-bp4-022-L.png
"もぎゅっと""love""で接近中！",ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！,,,,all,,L,PL!-bp4-023-L,"pink:2,yellow:1,purple:1,grey:3",,3,<ライブ成功時> 自分が余剰ハートに pink を1つ以上持つ場合、カードを1枚引く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!-bp4-023-L.png
小夜啼鳥恋詩,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！,Printemps,,,all,,L,PL!-bp4-024-L,"pink:2,yellow:2,grey:1",,2,<ライブ開始時> ライブ終了時まで、自分のステージにいる『μ's』のメンバー1人は、 <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!-bp4-024-L.png
微熱からMystery,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！,lily white,,,pink,,L,PL!-bp4-025-L,"pink:3,purple:3,grey:6",ドロー,5,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!-bp4-025-L.png
ダイヤモンドプリンセスの憂鬱,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！,BiBi,,,,,L,PL!-bp4-026-L,"yellow:1,purple:1,grey:1",スコア,1,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!-bp4-026-L.png
VIVID WORLD,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,blue,,L,PL!N-bp4-025-L,"blue:8,purple:2,grey:4",ドロー,6,<ライブ開始時> ライブ終了時まで、エールによって公開される自分のカードが持つ[桃ブレード]、[赤ブレード]、[黄ブレード]、[緑ブレード]、[紫ブレード]、 <ALLブレード> は、すべて[青ブレード]になる。 <ライブ成功時> エールにより公開された自分の『虹ヶ咲』のメンバーカードが持つハートの中に pink 、 red 、 yellow 、 green 、 blue 、 purple がある場合、このカードのスコアを＋１する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!N-bp4-025-L.png
DIVE!,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,red,,L,PL!N-bp4-026-L,"red:4,blue:3,grey:5",ドロー,5,<自動> 自分のメインフェイズにこのカードが控え室から手札に加えられたとき、自分の手札からカード名が「DIVE!」のライブカード1枚を表向きでライブカード置き場に置いてもよい。そうした場合、次のライブカードセットフェイズで自分がライブカード置き場に置けるカード枚数の上限が1枚減る。 <自動> このカードが表向きでライブカード置き場に置かれたとき、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は、 <ブレード> <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!N-bp4-026-L.png
EMOTION,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,all,,L,PL!N-bp4-027-L,"green:2,blue:1,grey:2",,2,<ライブ開始時> 自分の成功ライブカード置き場にあるカード名が「EMOTION」のカード1枚につき、このカードのスコアを＋２し、成功させるための必要ハートを grey grey grey 増やす。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!N-bp4-027-L.png
Rise Up High!,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,all,,L,PL!N-bp4-029-L,"blue:2,grey:1",,1,<ライブ開始時> このゲームの1ターン目のライブフェイズの場合、このカードのスコアを＋１し、ライブ終了時まで、自分のステージにいる『虹ヶ咲』のメンバー1人は、 <ブレード> を得る。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!N-bp4-029-L.png
stars we chase,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,all,,L,PL!N-bp4-028-L,"pink:2,yellow:2,grey:1",,2,<ライブ開始時> 自分の控え室にカード名の異なる『虹ヶ咲』のライブカードが4枚以上ある場合、このカードのスコアを＋１する。6枚以上ある場合、代わりにスコアを＋２する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!N-bp4-028-L.png
Daydream Mermaid,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,all,,L,PL!N-bp4-030-L,"blue:1,purple:3,grey:4",,3,<ライブ成功時> 以下から1つを選ぶ。自分の成功ライブカード置き場に『虹ヶ咲』のカードがある場合、代わりに1つ以上を選ぶ。 ・自分のエネルギーデッキから、エネルギーカードを1枚ウェイト状態で置く。 ・自分の控え室からメンバーカードを1枚手札に加える。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!N-bp4-030-L.png
"NEO SKY, NEO MAP!",ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,,,,,,L,PL!N-bp4-031-L,"pink:1,red:1,yellow:1,green:1,blue:1,purple:1,grey:12",スコア,8,<ライブ開始時> 自分のステージのエリアすべてに『虹ヶ咲』のメンバーがいて、かつそれらのコストの合計が20以上の場合、カードを3枚引き、自分の手札を3枚好きな順番でデッキの上に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!N-bp4-031-L.png
Blue!,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！虹ヶ咲学園スクールアイドル同好会,A・ZU・NA,,,all,,L,PL!N-bp4-032-L,"pink:1,red:1,blue:1,grey:4",,3,,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!N-bp4-032-L.png
Dazzling Game,ブースターパック SAPPHIRE MOON,ライブ,ラブライブ！スーパースター!!,,,,,,L,PL!SP-bp4-023-L,"purple:11,grey:8",スコア,8,<ライブ開始時> ライブ終了時まで、自分のステージにいる、「澁谷かのん」「ウィーン・マルガレーテ」「鬼塚冬毬」のうちのメンバー1人と、これにより選んだメンバー以外の『Liella!』のメンバー1人は、 <ブレード> を得る。 <ライブ開始時> ライブ終了時まで、エールによって公開される自分のカードが持つ[桃ブレード]、[赤ブレード]、[黄ブレード]、[緑ブレード]、[青ブレード]、 <ALLブレード> は、すべて[紫ブレード]になる。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP04/PL!SP-bp4-023-L.png
