card_name,card_name_eng,収録商品,card_type,series,unit,cost,base_heart,blade_heart,blade,rarity,card_no,required_heart,special_heart,score,text_card,image
高坂穂乃果,Kosaka Honaka,ブースターパック Royal Holiday,メンバー,ラブライブ！,Printemps,2.0,yellow:1,,,P+,PL!-bp6-001-P＋,,,,""" <ライブ開始時> <センター> 自分のライブカード置き場に『µ's』のカードがある場合、ライブ終了時まで、自分のステージにいるすべての『μ's』のメンバーは <ブレード> を得る。 <ライブ成功時> エールにより公開された自分のカードの中に、ブレードハートを持たない『μ's』のメンバーカードがある場合、カードを1枚引き、手札を1枚控え室に置く。""",https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp6-001-P2.png
高坂穂乃果,Kosaka Honaka,ブースターパック Royal Holiday,メンバー,ラブライブ！,Printemps,2.0,yellow:1,,,P,PL!-bp6-001-P,,,,<ライブ開始時> <センター> 自分のライブカード置き場に『µ's』のカードがある場合、ライブ終了時まで、自分のステージにいるすべての『μ's』のメンバーは <ブレード> を得る。 <ライブ成功時> エールにより公開された自分のカードの中に、ブレードハートを持たない『μ's』のメンバーカードがある場合、カードを1枚引き、手札を1枚控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp6-001-P.png
No brand girls,,ブースターパック Royal Holiday,ライブ,ラブライブ！,,,,,,SECL,PL!-bp4-022-SECL,"pink:3,yellow:3,purple:3,grey:9",score,7.0,<ライブ開始時> 自分のセンターエリアに <ブレード> を9つ以上持つ『μ's』のメンバーがいる場合、このカードのスコアを＋２する。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp4-022-SECL.png
高坂穂乃果,Kosaka Honaka,ブースターパック Royal Holiday,メンバー,ラブライブ！,Printemps,2.0,yellow:1,,,R+,PL!-bp6-001-R＋,,,,<ライブ開始時> <センター> 自分のライブカード置き場に『µ's』のカードがある場合、ライブ終了時まで、自分のステージにいるすべての『μ's』のメンバーは <ブレード> を得る。 <ライブ成功時> エールにより公開された自分のカードの中に、ブレードハートを持たない『μ's』のメンバーカードがある場合、カードを1枚引き、手札を1枚控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp6-001-R2.png
高坂穂乃果,Kosaka Honaka,ブースターパック Royal Holiday,メンバー,ラブライブ！,Printemps,2.0,yellow:1,,,SEC,PL!-bp6-001-SEC,,,,""" <ライブ開始時> <センター> 自分のライブカード置き場に『µ's』のカードがある場合、ライブ終了時まで、自分のステージにいるすべての『μ's』のメンバーは <ブレード> を得る。 <ライブ成功時> エールにより公開された自分のカードの中に、ブレードハートを持たない『μ's』のメンバーカードがある場合、カードを1枚引き、手札を1枚控え室に置く。""",https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp6-001-SEC.png
絢瀬絵里,Ayase Eli,ブースターパック Royal Holiday,メンバー,ラブライブ！,BiBi,2.0,purple:1,purple,1.0,R,PL!-bp6-002-R,,,,<登場> 自分のデッキの上からカードを2枚見る。その中から能力を持たない『μ's』のカードか <常時> 能力を持つ『μ's』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp6-002-R.png
南ことり,Minami Kotori,ブースターパック Royal Holiday,メンバー,ラブライブ！,Printemps,15.0,"pink:1,yellow:3,purple:1",yellow,7.0,R+,PL!-bp6-003-R＋,,,,<ライブ開始時> <センター> 手札にあるコスト2以下の『μ's』のメンバーカードを1枚公開し、このメンバーの下に置いてもよい。そうした場合、好きなハートの色を1つ指定する。ライブ終了時まで、そのハートを1つ得る。 <ライブ成功時> このメンバーの下にあるコスト2以下の『μ's』のメンバーカードを1枚、メンバーのいないエリアに登場させてもよい。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp6-003-R2.png
絢瀬絵里,Ayase Eli,ブースターパック Royal Holiday,メンバー,ラブライブ！,BiBi,2.0,purple:1,purple,1.0,P,PL!-bp6-002-P,,,,<登場> 自分のデッキの上からカードを2枚見る。その中から能力を持たない『μ's』のカードか <常時> 能力を持つ『μ's』のカードを1枚公開して手札に加えてもよい。残りを控え室に置く。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp6-002-P.png
南ことり,Minami Kotori,ブースターパック Royal Holiday,メンバー,ラブライブ！,Printemps,15.0,"pink:1,yellow:3,purple:1",yellow,7.0,P,PL!-bp6-003-P,,,,<ライブ開始時> <センター> 手札にあるコスト2以下の『μ's』のメンバーカードを1枚公開し、このメンバーの下に置いてもよい。そうした場合、好きなハートの色を1つ指定する。ライブ終了時まで、そのハートを1つ得る。 <ライブ成功時> このメンバーの下にあるコスト2以下の『μ's』のメンバーカードを1枚、メンバーのいないエリアに登場させてもよい。,https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp6-003-P.png
南ことり,Minami Kotori,ブースターパック Royal Holiday,メンバー,ラブライブ！,Printemps,15.0,"pink:1,yellow:3,purple:1",yellow,7.0,SEC,PL!-bp6-003-SEC,,,,""" <ライブ開始時> <センター> 手札にあるコスト2以下の『μ's』のメンバーカードを1枚公開し、このメンバーの下に置いてもよい。そうした場合、好きなハートの色を1つ指定する。ライブ終了時まで、そのハートを1つ得る。 <ライブ成功時> このメンバーの下にあるコスト2以下の『μ's』のメンバーカードを1枚、メンバーのいないエリアに登場させてもよい。""",https://llofficial-cardgame.com/wordpress/wp-content/images/cardlist/BP06/PL!-bp6-003-SEC.png
